Code	Provider	Marking	Case	Unit	Description	Provider	Category
	Code	Code		$US			
MC14076B			DIL14	0.5		1	1
CD4077BE			DIL14	0.5		1	1
MC14077B			SOIC14	0.5	QUAD EXCLUSIVE NOR Gate	1	1
CD4078BCM			SOIC14	0.4	8-IN NOR/OR Gate	1	1
CD4078B			DIL14	0.4	8-IN NOR/OR Gate	1	1
CD4081B			DIL14	0.5		1	1
HEF4081BP			DIL14	0.5	Quad 2 Input NAD Gate	1	1
HCF4082			DIL14	0.5	Dual 4-Input AND Gate	1	1
CD4085B			DIL14	0.5	Dual 2 Wide 2 Input AND-OR-INVERT Gate	1	1
CD4093BCM			SOIC14	0.32	QUAD NAND Schmitt Trigger	1	1
HCF4098BE			DIL16	0.5	Dual Monoflop	1	1
CD4099B			DIL16	0.5	8 Bit Addressable Latch	1	1
CD4502BE			DIL16	0.48	Hex Tree-State Buffer Inverting	1	1
MC14508B			DIL24	0.48		1	1
CD4511B			SOIC16W	0.53	BCD-7-Segment Driver	1	1
MC14511BCP			DIL16	0.56	BCD-7-Segment Driver	1	1
CD4514B			DIL24	1.2	MUX	1	1
CD4527BE			DIL16	0.48	BCD Rate Multiplyer	1	1
SCL4584BE			DIL14	0.48		1	1
HEF40097BP			DIL16	0.48	Tree-State Buffer Non-Invertimg	1	1
HEF40106B			DIL16	0.48	HEX SCMITT TRIGGER INV	1	1
CD40106BCM			SOIC14	0.48	HEX SCMITT TRIGGER INV	1	1
CD40109BE			DIL16	0.48	Hex Level Shifter	1	1
MC14489B			SOIC20W	0	Serial Display Driver	1	1
NL27WZ16DTT1G			TSOP6	0		2	1
NL17SZU04DFT2G		L6	SOT353	0.17	"SINGLE INVERTER UNBUFFERED, sink/source 16mA, 1.65V..5.5V, 4.5ns,"	2	1
NL27WZ04		M5M	SOT363	0	"Dual INVERTER UNBUFFERED, sink/source 24mA, 1.65V..5.5V, 4.5ns,"	1	1
NL37WZ04		L5M	US8	0	"Triple INVERTER UNBUFFERED, sink/source 24mA, 1.65V..5.5V, 4.5ns,"	1	1
NL17SZ17DFT2G		LX	SOT353	0.21	"SINGLE SCHMITT-TRIGGER BUFFER, sink/source 24mA, 1.65V...5.5V, 3.1ns,"	2	1
NL27WZ32USG		LR	US8	0.42	"DUAL 2-INPUT OR GATE, sink/source 24mA, 1.65V..5.5V, 2.5ns,"	2	1
NL37WZ07USG		L7	US8	0.3	"TRIPLE OPEN DRAIN BUFFER, sink 24mA @3V, 1.65V..5.5V, "	2	1
ULN2003		UNL2003	SMD16	0	Octal Driver 	1	1
PCF8576DH/2			TQFP64	1.8	"40 Segment LCD Driver, Serial"	1	1
80C250			SOIC8	1.5	CAN Tranceiver 1CH 5V	1	1
MK50397N			DIL40	25	"6-Decade Counter 595999, Preset, Register, BCD-MUX"	1	1
AT27C512R				0		1	2
93C56			DIL8	0		1	2
NM27C512Q150			DIL28	0		1	2
27C512				0		1	2
TMS44C256-70				0		1	2
PIC16F84-20/P			DIL18	6.5	"MCU FLASH 8x8x14 EE, 20MHz,"	1	3
PIC16F84A-20/P			DIL18	0		1	3
PIC16F627A-I/P			DIL18	2.95	"MCU FLASH  1KX14 EE, 20MHz,"	1	3
PIC16F628A-I/P			DIL18	3.35	"MCU FLASH  2KX14 EE, 20MHz,"	1	3
PIC16F873A-I/SP			DIL28S	0		1	3
PIC16F873A-SP			DIL28S	0		1	3
PIC16F873-04/SP			DIL28S	0		1	3
PIC16F876-4/P			DIL28S	8.78	"MCU FLASH  8KX14 EE, 4MHz,"	1	3
PIC16F876-20/P			DIL28S	8.23	"MCU FLASH  8KX14 EE, 20MHz,"	1	3
PIC16F876A-I/SP			DIL28S	7.7	"MCU FLASH  8KX14 EE, 20MHz,"	1	3
PIC16F877-20/P			DIL40	5.76	"MCU FLASH  8KX14 EE, 20MHz,"	1	3
PIC16LF877A-I/SP			DIL40	5.76	"MCU FLASH  8KX14 EE, 20MHz,"	1	3
Intel 386DX-20MHz				0		1	4
Intel 387DX-20MHz				0		1	4
AMD386DX-40MHz				0		1	4
Intel 586-150MHz				0		1	4
AMD P2 K6 550MHz				0		1	4
P3 1000MHz				0		1	4
D8255AC-2			DIL40	0	UART	1	5
AD741KN			DIL8	0	OPAMP Standard	1	6
AD8515ART-R2CT	AD8515ART-R2CT-ND	Y08	SOT23-5	1.05	OPAMP 1.8V R-R I/O LP 	1	6
CA3080E			DIL8	0.65	OTA Transconductance Amplifier	1	6
CA3100S			TO-99	0.65	OPAMP CMOS Video	1	6
CA3130AE			DIL8	2	OPAMP CMOS	1	6
CA3140E			DIL8	0.65	OPAMP CMOS	1	6
HA-2525			TO-99	1.2	OPAMP 20MHz Fast Video Amplifier	1	6
INA114			SOIC16	8.6	OPAMP Precision Instrumentation Amplifier	1	6
ICL301ALNPA			DIL8	2.5	OPAMP	1	6
ICL7601CPD			DIL14	2.5	OPAMP	1	6
LH0042CH			TO-99	11.5	OPAMP	1	6
LH0042CH			TO-	11.5	OPAMP	1	6
LF351N		LF351N	DIL8	0.94	"OPAMP J-FET-IN, wide bandwidth,"	1	6
