Code	Provider	Marking	Case	Unit	Description	Provider	Category
	Code	Code		$US			
MAX232EPE			DIL16	4.3	DUAL EIA RS-232 Interface / Carge Pump	1	13
MAX232DW			SOIC16	0.91	DUAL EIA RS-232 Interface / Carge Pump	1	13
MAX485CPA			DIL8	2.76	RS422/485 Line-Driver	1	13
MAX490E				0		1	13
MAX491E				0		1	13
MC1488D			SOIC14	0	RS232 Quad Line Driver	1	13
MC1489AD			SOIC14	0	RS232 Quad Line Receiver	1	13
DS75176BTM			SOIC8	0	RS485 Line Driver/Receiver	6	13
ICM7211AIPL			DIL40	4.9	BCD-LCD Driver	1	13
ICM7227AIPL			DIL28	5.2	Counter	1	13
ICM7217AIPL			DIL28	5.2	Counter	1	13
ISD1616B		1616BSY	SOIC16	0	Sprachspeicher	1	13
L297			DIL20	9	STEP MOTOR CONTROLLER	1	14
L298N			15MULTIWATT	4.8	DUAL FULL BRIDGE DRIVER	1	14
L293DD			SOIC20	3	H-BRIDGE DRIVER	1	14
L6203R			15MULTIWATT	12	DUAL FULL BRIDGE DRIVER	1	14
TC9400			DIL14	0	V/F-Converter	1	15
A8404			DIL14	45	V/F-Converter	1	15
AD532AJD			DIL14	36	Multiplier 4-Quadrant	1	15
AD536AKD			DIL14	32.21	RMS-Converter	1	15
AD537JD			DIL14	46.23	V/F-Converter	1	15
XR4151R			DIL8	2.31	V/F-Converter	1	15
XR4153			DIL14	6.46	V/F-Converter	1	15
AD7525KN			DIL16	7.56	DA-Converter 8-Bit	1	15
AD1851N			DIL16	10	PCM Audio DA-Converter 16Bit	1	15
DAC85Q-CBI-I			DIL24	65	D/A-Converter 12-Bit	1	15
DAC100			DIL16	10	D/A-Converter 8&10-Bit	1	15
DAC0832LCV			MCCP	10	D/A-Converter 8&10-Bit Double Buffered	1	15
DAC8830IBD			SOIC8	14.24	"D/A-Converter 16-Bit, Micro Pwer, fast SPI I/F"	1	15
LTC1660CGN	LTC1660CGN-ND		SO8	12.38	"D/A Converter, Octal, 10-bit-RR, Low Power, Serial I/F"	1	15
ADSP2105KP-40				28.34	DSP	1	15
ICL7106CPL			DIL40	5.48	3.5 Digit A/D-Converter LCD	1	15
ICL7107CPL			DIL40	5.48	3.5 Digit A/D-Converter LED	1	15
TC7107CKW			PQFP44	3.68	3.5 Digit A/D-Converter LED	1	15
ICL7109			DIL40	13.04	12-Bit-A/D-Converter	1	15
ICL7136			DIL40	5.54	3.5 Digit A/D-Converter LCD	1	15
ICL7136CM44			MQFP44	5.35	3.5 Digit A/D-Converter LCD	1	15
TC7135CDW			SOIC28	4.16	4.5 Digit A/D-Converter BCD-MUX	1	15
MAX163CCGW			SOIC24	33.8	"A/D-Converter 12-Bit, 1-Ch, 100ksps, Track/Hold, -5V Ref, 0..+5V Input Range"	5	15
MAX182AEPI			DIL28	46.23	A/D-Converter	5	15
CS5529ASZ			SSOP20	6.22	A/D-Converter 12-Bit	1	15
8750CJ			DIL24	0	A/D-Converter	1	15
ADC0844CCN			DIL20	5.23	ADC 8-Bit 4-CH	1	15
ICL8038CC			DIL14	6.34	Function-Generator	1	15
ICL8038CCJD			DIL14	6.34	Function-Generator	1	15
XR2206			DIL14	4.45	Function-Generator	1	15
XR2208CP			DIL16	4.45	Operational Multiplier	1	15
QT300			SOIC8W	3.84	C-Conv 16-Bit Data	1	15
QT110-IS			SOIC8	1.97	Touch/Prox. Sensor 1CH	1	15
QT110-IS			SOIC8	3.5	Touch/Prox. Sensor 1CH	1	15
QT114-IS			SOIC8	1.97	2LVL Fluid/POWDR Sensor	1	15
QT140-AS			TSOP28	2.89	4CH Touch Sensor	1	15
ZXCT1009FCT		109	SOT-23	0.95	High-Side Current Monitor LO-Sense Volt	1	15
ZXCT1021E5TA			SOT-23	1.46	High-Side Current Monitor LO-Sense Volt	1	15
ZXCT1022E5TA			SOT-23	1.46	High-Side Current Monitor LO-Sense Volt	1	15
LT1787HS8			SOIC	5.8	High-Side Precision Current Monitor LO-Sense Volt	1	15
XTR115UA			SOIC8	2.34	4..20mA Current-Loop-Transmitter	1	15
ISO124	ISO124P-ND		DIL16	12	ISOLATION OPAMP 	1	15
VI-607-DP-FC-S	153-1020-ND		"DIL50LCD-0.7"""	13.82	LCD-6 Digit 17.78mm Transflective W/Data	1	16
VI-415-DP-FC-S	153-1016-ND		"DIL50LCD-0.7"""	9.47	LCD-4 Digit 17.78mm Transflective W/Data	1	16
LCD-4.0-13			"DIL40LCD-0.5"""	6	LCD-4.0 Digit-13mm Reflective	1	16
LCD-3.5-13-LOBAT			"DIL40LCD-0.5"""	6	LCD-3.5 Digit-13mm Reflective	1	16
L1642			Module	12	LCD-1x16-Character HD44780	1	16
L1642			Module	15	LCD-2x16-Character HD44780 LED	1	16
L2432			Module	18	LCD-2x20-Character HD44780	1	16
L2012			Module	23	LCD-2x20-Character HD44780 LED	1	16
UC40207			Module	42	LCD-2x40-Character HD44780	1	16
CFAH2004A-YYH-JP			Module	34	LCD-4x40-Character HD44780 LED	1	16
TLX-1781-C3B			Module	200		1	16
4N36			Module	0.8	Opto Transistor	1	17
6N136			DIL8	1.8	Opto Transistor High Speed	1	17
HP3120			SMT8	8.6	Opto MOSFET/IGBT High Side Driver 	1	17
HP7800			SMT8	8.6	ISO-Amplifier	1	17
IL300			SMT8	0	Opto Linear	1	17
MOC3020			DIL6	0.8	Opto Triac	1	17
MOC3041			DIL6	0.8	Opto Triac ZVS	1	17
PAA110			DIL8	6.45	Opto MOS 2-CH 400V	1	17
PC923			DIL6	0	Opto Gate Driver 2-Channel	1	17
PS2703			SMD4	0.66	Opto Transistor	1	17
PS7141-2A A			DIL8	5	"Opto MOS 2-CH 400V, 30Ohm,"	1	17
P160J			SMD4	1.1	"Opto Triac 600V, random firing"	1	17
P160G			SMD4	0	"Opto Triac 600V, random firing"	1	17
P161G			SMD4	0	"Opto Triac 600V, ZVS firing"	1	17
P721			SMD	0.64	Opto Transistor	1	17
PC817-1			SMD	0.58	Opto Transistor	1	17
TLP251			SMT8	1.88	Opto MOSFET/IGBT High Side Driver	1	17
SC52-11				1.3	13mm 7-Segment-Display Common Cathode Single Yellow	1	18
3mm LED red				0.28	3mm LED super bright clear red	1	18
3mm LED green				0.28	3mm LED D291super bright clear green	1	18
3mm LED yellow				0.28	3mm LED super bright clear yellow	1	18
LED 660NM RED DIFF 1206 SMD	516-1439-1-ND		1206	0.09	LED 660NM RED DIFF 1206 SMD	1	18
LED 570NM GREEN DIFF 1206 SMD	516-1443-1-ND		1206	0.09	1206 LED green clear	1	18
LED 589NM YELLOW DIFF 1206 SMD	516-1442-1-ND		1206	0.09	LED 589NM YELLOW DIFF 1206 SMD	1	18
LED YELLOW CLEAR 1206 SMD	160-1170-1-ND		1206	0.07	LED YELLOW CLEAR 1206 SMD	1	18
LED 468NM BLUE DIFF 1206 SMD	516-1446-1-ND		1206	0.31	LED 468NM BLUE DIFF 1206 SMD	1	18
LED 468NM BLUE DIFF 0805 SMD	516-1437-1-ND		805	0.31	LED 468NM BLUE DIFF 0805 SMD	1	18
LED White Clear 2x3mm 40mcd SMD	67-1607-1-ND		1208	2.64	LED White 150mcd 1208 SMD	1	18
LED Green Clear 0805 SMD	160-1179-1-ND		805	0.06	LED Green Clear	1	18
LED Amber Clear 0805 SMD	160-1177-1-ND		805	0.07	LED Amber Clear	1	18
LED Red Clear 0805 SMD	160-1176-1-ND		805	0.08	LED Amber Clear	1	18
HEDS-9040-B00				33.44	"Optical Encoder 3-Channel, 1000CPR"	1	19
HEDS-9100-A00				28.04	"Optical Encoder 2-Channel, 500CPR"	1	19
HEDS-9140-A00				26.8	"Optical Encoder 2-Channel, 500CPR"	1	19
HEDS-5500-A00				59.71	"Optical encoder, quick assambly 2-Channel,  500CPR"	1	19
HEDS-6140#B09				28.79	"HUBDISK, 1000CPR, 0,5"" Shaft, 50.41mm, 2 & 3 Channel,"	1	19
"HUBDISK1-500-236-I, 6mm, DISK 11mm, 500CPR"				14	"HubDISK, 500CPR, 6mm Shaft, 11mm, 2 & Index Channel,"	1	19
"DISK-1-1000-375-I, 9,52mm, DISK 11mm, 1000CPR"				8.5	"DISK, 1000CPR, 6mm Shaft, 11mm, 2 & Index Channel,"	1	19
"DISK-1-500-375-I, 9,52mm, DISK 11mm, 500CPR"				8.5	"DISK, 1000CPR, 6mm Shaft, 11mm, 2 & Index Channel,"	1	19
BU508A			TO-247AC	0	NPN-1500V / 8A	1	20
BU908			TO-247AC	0	NPN-High Voltage	1	20
BU2508A			TO-247AC	1.29	NPN-1500V / 8A	1	20
BU2508DF			TO-247AC	2	NPN-1500V / 8A	1	20
BUH517			TO-247AC	0	NPN-1500V / 8A	1	20
BUT12A			TO-220	2	MOSFET	1	20
IRF240			TO-3	8	MOSFET N-Ch 200V 30A	1	20
IRF840			TO-220	1.86	MOSFET N-Ch 500V 8A 0.75R	1	20
IRFD110			HD-1	0	MOSFET N	1	20
IRFP250			TO-247	3.6	MOSFET N-Ch 200V 30A	1	20
IRFP250A			TO-247AC	3.6	MOSFET N-Ch 200V 30A	1	20
IRFP250N			TO-247AC	3.6	MOSFET N-Ch 200V 30A	1	20
IRFP350			TO-247AC	4.2	MOSFET N-Ch 400V 16A	1	20
IRFP440			TO-247AC	4	MOSFET N-Ch 500V 8.8A	1	20
IRFP450A			TO-247AC	5	MOSFET N-Ch 500V 14A	1	20
IRLZ24N			TO-220AB	0.82	HEX/MOS N-Ch 55V 18A	1	20
IRF9540N			TO-220AB	1.37	HEX/MOS P-Ch -100V -23A	1	20
IRGPC30UD2			TO-247AC	0	IGBT	1	20
10NK80Z			TO-247AC	2.53	MOSFET N-Ch 800V 9A	1	20
CSD19537			SON	1.15	MOSFET N-Channel 100V 50A 0.012R	1	20
BF244			TO-92	0.25	N-Channel 30V / 30mA	1	21
BF244A			TO-92	0.25	N-Channel 30V / 30mA	1	21
BF244B			TO-92	0.25	N-Channel 30V / 30mA	1	21
BF980A			SOT-103	0	N-Channel Dual Gate MOSFET	1	21
BSS123INCT			SOT-23	0.25	MOSFET N-CH 100V 170mA 	1	21
BS170			TO-92	0.26	MOSFET N-CH 60V 5Ohm	1	21
MMBF4393LT1OSCT			SOT-23	0.25	MOSFET SS N-CH 30V	1	21
2N5458			TO-92	0.35	FET N-CH 25V	1	21
2N2369			TO-39	0	NPN Si Preamp Driver	1	21
2N3819			TO-92	0		1	21
2N3820			TO-92	0		1	21
BC548B		BC548B	TO-92	0.13	TRANS NPN 30V 100mA	1	22
BC558B		BC558B	TO-92	0.13	TRANS NPN 30V 100mA	1	22
BC848A		BC848A	SOT-23	0.08	TRANS NPN 30V 100mA	1	22
MMBTA05LT1OSCT		1H	SOT-23	0.11	TRANS NPN 60V	1	22
MMBTA55LT1OSCT		2H	SOT-23	0.11	TRANS PNP -60V	1	22
MMBT4401		2X	SOT-23	0	TRANS NPN 30V 500mA	1	22
FMMT458		458	SOT-23	0.48	TRANS NPN 400V 100mA	1	22
FMMT558		558	SOT-23	0.48	TRANS PNP -400V -100mA	1	22
FZT951TA		FZT951	SOT-223	1.37	TRANS PNP -60V -5A 55mOhm	1	22
FZT851TA		FZT851	SOT-223	1.37	TRANS NPN 60V 6A 44mOhm	1	22
BSP52T10SCT		AS3	SOT-223	0	TRANS DARL NPN 80V 1A	1	22
PTZ222AT1		P1F	SOT-223	0.31	TRANS SS SW NPN 40V 600mA	1	22
PTZ2907AT1		P2F	SOT-223	0.31	TRANS SS SW PNP -60V -600mA	1	22
2N3053		2N3053	TO-5	1.25		1	22
2N4037		2N4037	TO-5	0		1	22
MMBTA06 / MPSA06		1GM	SOT-23	0	TRANS SS SW NPN 80V 500mA	1	22
MMBT3904		1AM		0.02	TRANS SS SW NPN 40V 100mA	1	22
MMBT3906		2A		0.02	TRANS SS SW PNP -40V -100mA	1	22
2MBI75L-120		2MBI75L-120		0		1	23
2MBI300S-120		2MBI300S-120		0		1	23
MG100Q2YS42		MG100Q2YS42		0		1	23
MG50Q2YS43		MG50Q2YS43		0		1	23
BD135-16				0		1	24
BD137				0		1	24
BD138				0		1	24
BD140				0		1	24
BD435				0		1	24
BD436				0		1	24
BD437				0		1	24
BD438				0		1	24
BD577				0		1	24
BUX86				0		1	24
LM395T			TO-220	2.57	TRANS ULTR REL PWR / 1A/36Vec	1	24
MJE340				0		1	24
SJ131				0		1	24
SJ132				0		1	24
BT138-600			TO-220	1.5	TRIAC 600V 8A	1	25
BTA08-600SW			TO-220	1.5	TRIAC 600V 8A	1	25
BTA08-600CWRG			TO-220	1.5	TRIAC 600V 8A Snubber-Free	1	25
BTA16-600B			TO-220	0.75	TRIAC 600V 12A Snubber-Free	1	25
BTA26-600BWRG			TO-247	0	TRIAC 600V 25A Snubber-Free	1	25
BTA40-600B			RD91	7.59	TRIAC 600V 40A	1	25
TIC216N			TO-220	1.3	TRIAC 800V 6A	1	25
TIC226N			TO-220	1.3	TRIAC 800V 8A	1	25
TIC236N			TO-247	3.2	TRIAC 800V 12A	1	25
TIC246N			TO-247	3.2	TRIAC 800V 16A	1	25
TIC253N			TO-247	3.2	TRIAC 800V 20A	1	25
TIC263N			TO-247	3.5	TRIAC 800V 25A	1	25
NTE5646			TO-220	2		1	25
CSB60				15	TRIAC 600V 25A	1	25
SKT40/16E			STUD M8	25	SCR PHASE CONT 1600V 63A	1	26
ST230C08C0			A-PUK	78.7	SCR PHASE CONT 800V 410A	1	26
ST083S08PFN0			TO-209AC	165.4	SCR Inverter Grade 1200V 85A	7	26
S8035K			TO-218AC	4.46	SCR PHASE CONT ISO 800V 35A	1	26
TIC116B			TO-220	1.5	SCR PHASE CONT 200V 8A	1	26
BT151				0		1	26
MCC44-14				0		1	26
MCD95-16				0		1	26
B40C1500			RUND	0.25	Rect Bridge 40V 1.5A	1	27
B250C1500			RUND	0.25	Rect Bridge 250V 1.5A	1	27
MBR3045			TO-218AC	0		1	27
"36MT140, , 3-PH-Rectifier Bridge, 36A, 1400V"	36MT140		METALL	20.86	"3-PH-Rectifier Bridge, 36A, 1400V"	1	27
"VUO82-12NO7, 3-PH-Rectifier Bridge, 82A, 1200V"	VUO82-12NO7			0	"3-PH-Rectifier Bridge, 82A, 1200V"	1	27
"6RI75G-120, 3-PH-Rectifier-Bridge, 75A, 1200V"	6RI75G-120			0	"3-PH-Rectifier-Bridge, 75A, 1200V"	1	27
"SKD31/12, 3-PH-Rectifier-Bridge, 31A, 1200V"	SKD31/12			0	"3-PH-Rectifier-Bridge, 31A, 1200V"	1	27
"SKD50/08, 3-PH-Rectifier-Bridge, 50A, 800V"	SKD50/08			0	"3-PH-Rectifier-Bridge, 50A, 800V"	1	27
1N4001GITC	1N4001GICT		DO-41	0.03	Rectifier 50V 1A 	1	27
1N4007	1N4007-TPMSCT-ND		DO-41	0.03	Rectifier 600V 1A 	1	27
1N5408	1N5408-TPCT-ND		DO-201AD	0.12	Rectifier 1000V 3A 	1	27
1N5822-E3/1	1N5822-E3/1GI-ND		DO-201AD	0.25	DIODE SCHOTTKY 3A 40V	1	27
1N914			DO-35	0.03	SW Diode	1	27
1N4148			DO-35	0	SW Diode	1	27
FJT1101			DO-35	0	SCHOTTKY	1	27
ES1D-E3/61T	ES1D-E3/61TGICT-ND	ED	SMA	0.11	DIODE ULTRAFAST 1A 200V	1	27
ES3A-13-F	ES3A-FDICT-ND	ES3A	SMC	0.87	"DIODE SUPER FAST 50V 3A, 25ns,"	1	27
MSP6103P5-1				166.25	Pressure Transducer 4..20mA 10000PSI	1	28
EPS25200P5-1			"1/2""-NTP"	250	Pressure Transducer 4..20mA 200bar (2900PSI)	1	28
Buzzer				1.5	Buzzer Piezo 3.2kHz self drive	1	28
WAGO 236-406	Klemmleiste 6pol		RM5.08	1.25	Klemmleiste 2.5mm2 Leiterplattenausfürung	1	29
WAGO 250-410	"Klemmleiste mit Betätigungsdrückern, 4A, 10-pol"		RM2.5	1.42	"Klemmleiste mit Betätigungsdrückern, RM 2,5 mm, 4A, 10-pol"	1	29
WAGO 250-502	"Klemmleiste mit Betätigungsdrückern, 17,5A, 2-pol"		RM5.08	0.46	"Klemmleiste mit Betätigungsdrückern, RM 5,0 mm, 17,5A, 2-pol"	1	29
